INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-20-000309,2020-01-02 12:12:00,2019-12-19 00:00:00,THEFT/LARCENY,"THEFT BY DECEPTION-INCL COLD CHECKS U/$10,000",23H,PART I,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME                             ,13100 BLOCK SARATOGA SPRINGS PL                             ,LOUISVILLE,40299,93
80-20-000014,2020-01-01 02:25:00,2020-01-01 02:25:00,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,S 42ND ST / W MARKET ST                                     ,LOUISVILLE,40212,94
80-20-000128,2020-01-01 14:10:00,2019-12-31 12:22:00,FRAUD,FRAUDULENT USE OF CREDIT CARDS U/$500 W/6 MO PERIOD,26B,PART II,COMPLETED,1ST DIVISION,112,GROCERY / SUPERMARKET                        ,2700 BLOCK W BROADWAY                                       ,LOUISVILLE,40211,95
80-20-000310,2020-01-02 11:46:00,2019-12-16 10:00:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,1ST DIVISION,112,RESTAURANT                                   ,2600 BLOCK W BROADWAY                                       ,LOUISVILLE,40211,96
80-20-000016,2020-01-01 02:48:00,2020-01-01 02:30:00,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,13300 BLOCK FORGE CIR                                       ,LOUISVILLE,40272,97
80-20-000372,2020-01-02 14:30:00,2020-01-02 14:21:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,200 BLOCK W ST CATHERINE ST                                 ,LOUISVILLE,40203,98
80-20-000458,2020-01-02 18:28:00,2019-12-07 17:00:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,2100 BLOCK BOLLING AVE                                      ,LOUISVILLE,40210,99
80-20-000253,2020-01-02 03:36:00,2020-01-02 03:26:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,5000 BLOCK MILE OF SUNSHINE DR                              ,LOUISVILLE,40219,100
80-20-000197,2020-01-01 18:52:00,2020-01-01 18:52:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,331,CONVENIENCE STORE                            ,2100 BLOCK UPPER HUNTERS TRCE                               ,LOUISVILLE,40216,101
80-20-500001,2020-01-01 09:57:00,2020-01-01 01:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,4700 BLOCK WOODED OAK CIR                                   ,LOUISVILLE,40245,102
80-20-000254,2020-01-02 03:50:00,2020-01-02 03:25:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,1500 BLOCK ALETHA DR                                        ,LOUISVILLE,40219,103
80-20-000200,2020-01-01 19:45:00,2020-01-01 10:00:00,VEHICLE BREAK-IN/THEFT,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL,23G,PART I,COMPLETED,7TH DIVISION,711,GROCERY / SUPERMARKET                        ,12600 BLOCK TAYLORSVILLE RD                                 ,LOUISVILLE,40299,104
80-20-000463,2020-01-02 18:00:00,2020-01-02 17:53:00,FRAUD,"TBUT OR DISP ALL OTHERS > $500 BUT < $10,000",270,PART II,COMPLETED,7TH DIVISION,736,DEPARTMENT / DISCOUNT STORE                  ,9300 BLOCK BLUE LICK RD                                     ,LOUISVILLE,40229,105
80-20-000311,2020-01-02 12:00:00,2020-01-02 11:29:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME                             ,6700 BLOCK FENWICK DR                                       ,LOUISVILLE,40228,106
80-20-000016,2020-01-01 02:48:00,2020-01-01 02:30:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,13300 BLOCK FORGE CIR                                       ,LOUISVILLE,40272,107
80-20-000373,2020-01-02 15:03:00,2020-01-01 06:00:00,THEFT/LARCENY,"TBUT OR DISP FROM BLDG $500 OR > BUT < $10,000",23D,PART I,COMPLETED,7TH DIVISION,736,RESTAURANT                                   ,2800 BLOCK FERN VALLEY RD                                   ,LOUISVILLE,40213,108
80-20-000130,2020-01-01 14:16:00,2019-12-31 23:00:00,THEFT/LARCENY,TBUT OR DISP POCKETPICKING < $500,23A,PART I,COMPLETED,5TH DIVISION,525,BAR / NIGHT CLUB                             ,3800 BLOCK FRANKFORT AVE                                    ,LOUISVILLE,40207,109
80-20-000019,2020-01-01 02:35:00,2020-01-01 02:34:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,4TH DIVISION,424,PARKING LOT / GARAGE                         ,3000 BLOCK CRITTENDEN DR                                    ,LOUISVILLE,40209,110
80-20-000375,2020-01-02 14:55:00,2020-01-02 14:40:00,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,1800 BLOCK BAIRD ST                                         ,LOUISVILLE,40203,111
80-20-000464,2020-01-02 17:39:00,2020-01-02 17:30:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,4TH DIVISION,424,OTHER RESIDENCE (APARTMENT/CONDO)            ,3000 BLOCK S 4TH ST                                         ,LOUISVILLE,40208,112
80-20-000312,2020-01-02 12:22:00,2020-01-01 15:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,10100 BLOCK NATIONAL TPKE                                   ,LOUISVILLE,40118,113
80-20-000199,2020-01-01 19:23:00,2019-12-27 20:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,2500 BLOCK W JEFFERSON ST                                   ,LOUISVILLE,40212,114
80-20-000257,2020-01-02 04:13:00,2020-01-02 00:30:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,3RD DIVISION,315,PARKING LOT / GARAGE                         ,7700 BLOCK TRADE PORT DR                                    ,LOUISVILLE,40258,115
80-20-000072,2020-01-01 10:31:00,2020-01-01 10:24:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,1200 BLOCK S BROOK ST                                       ,LOUISVILLE,40203,116
80-20-000201,2020-01-01 19:28:00,2020-01-01 19:15:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,7100 BLOCK ETHAN ALLEN WAY                                  ,LOUISVILLE,40272,117
80-20-000260,2020-01-02 06:15:00,2020-01-01 18:15:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,4TH DIVISION,411,PARKING LOT / GARAGE                         ,S 6TH ST / YORK ST                                          ,LOUISVILLE,40203,118
80-20-000466,2020-01-02 19:47:00,2020-01-02 19:26:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO)            ,6600 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219,119
80-20-000313,2020-01-02 12:01:00,2019-12-31 17:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,3000 BLOCK JEFFERSON GREEN DR                               ,LOUISVILLE,40219,120
80-20-000375,2020-01-02 14:55:00,2020-01-02 14:40:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,1800 BLOCK BAIRD ST                                         ,LOUISVILLE,40203,121
80-20-000023,2020-01-01 03:08:00,2020-01-01 00:59:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,1ST DIVISION,134,RESTAURANT                                   ,100 BLOCK W WASHINGTON ST                                   ,LOUISVILLE,40202,122
80-20-000131,2020-01-01 14:17:00,2019-12-22 00:30:00,THEFT/LARCENY,TBUT OR DISP POCKETPICKING < $500,23A,PART I,COMPLETED,4TH DIVISION,412,BAR / NIGHT CLUB                             ,2100 BLOCK S PRESTON ST                                     ,LOUISVILLE,40217,123
80-20-000376,2020-01-02 14:40:00,2020-01-01 18:00:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,3RD DIVISION,331,OTHER RESIDENCE (APARTMENT/CONDO)            ,7800 BLOCK ST ANDREWS CHURCH RD                             ,LOUISVILLE,40214,124
80-20-000024,2020-01-01 03:21:00,2019-12-31 22:00:00,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,1100 BLOCK LILLIAN AVE                                      ,LOUISVILLE,40208,125
80-20-000467,2020-01-02 18:45:00,2020-01-02 18:45:00,WEAPONS,POSSESSION OF HANDGUN BY CONVICTED FELON,520,PART II,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,DIXIE HWY / ST LOUIS AVE                                    ,LOUISVILLE,40210,126
80-20-000260,2020-01-02 06:15:00,2020-01-01 18:15:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,4TH DIVISION,411,PARKING LOT / GARAGE                         ,S 6TH ST / YORK ST                                          ,LOUISVILLE,40203,127
80-20-000314,2020-01-02 11:47:00,2020-01-02 01:00:00,DISTURBING THE PEACE,CRIMINAL TRESPASS-1ST DEGREE,90J,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,1800 BLOCK BAIRD ST                                         ,LOUISVILLE,40203,128
80-20-000202,2020-01-01 19:49:00,2020-01-01 18:30:00,OTHER,PROPERTY LOST OR ABANDONED NON CRIMINAL,90Z,PART II,COMPLETED,4TH DIVISION,423,DEPARTMENT / DISCOUNT STORE                  ,3900 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40216,129
80-20-000073,2020-01-01 10:45:00,2020-01-01 10:15:00,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,12800 BLOCK E ORELL RD                                      ,LOUISVILLE,40272,130
80-20-000316,2020-01-02 12:29:00,2020-01-02 12:20:00,ASSAULT,HARASSMENT (NO PHYSICAL CONTACT),13C,PART II,COMPLETED,1ST DIVISION,111,OTHER / UNKNOWN                              ,N 23RD ST / PORTLAND AVE                                    ,LOUISVILLE,40212,131
80-20-000203,2020-01-01 19:41:00,2020-01-01 19:25:00,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,2200 BLOCK W JEFFERSON ST                                   ,LOUISVILLE,40212,132
80-20-000469,2020-01-02 19:30:00,2020-01-02 19:00:00,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,3RD DIVISION,331,RESTAURANT                                   ,6400 BLOCK GREENWOOD RD                                     ,LOUISVILLE,40258,133
80-20-000379,2020-01-02 15:15:00,2020-01-02 14:30:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,7TH DIVISION,735,GROCERY / SUPERMARKET                        ,4800 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219,134
80-20-000024,2020-01-01 03:21:00,2019-12-31 22:00:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,1100 BLOCK LILLIAN AVE                                      ,LOUISVILLE,40208,135
80-20-000261,2020-01-02 05:23:00,2020-01-02 04:58:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,1200 BLOCK TENNESSEE AVE                                    ,LOUISVILLE,40208,136
80-20-000132,2020-01-01 13:36:00,2020-01-01 13:25:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,7TH DIVISION,711,HIGHWAY / ROAD / ALLEY                       ,12600 BLOCK TAYLORSVILLE RD                                 ,LOUISVILLE,40299,137
80-20-000025,2020-01-01 03:46:00,2019-12-31 19:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,7TH DIVISION,736,PARKING LOT / GARAGE                         ,3500 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219,138
80-20-000261,2020-01-02 05:23:00,2020-01-02 04:58:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 2ND OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,1200 BLOCK TENNESSEE AVE                                    ,LOUISVILLE,40208,139
80-20-000470,2020-01-02 19:45:00,2020-01-02 19:20:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,13000 BLOCK E ORELL RD                                      ,LOUISVILLE,40272,140
80-20-000381,2020-01-02 15:03:00,2020-01-02 14:19:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,8TH DIVISION,812,OTHER RESIDENCE (APARTMENT/CONDO)            ,9200 BLOCK BLOSSOM LN                                       ,LOUISVILLE,40241,141
80-20-000317,2020-01-02 11:54:00,2019-12-31 18:00:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,6TH DIVISION,612,CHILD DAYCARE FACILITY                       ,5100 BLOCK PRESTON HWY                                      ,LOUISVILLE,40213,142
80-20-000206,2020-01-01 18:47:00,2020-01-01 18:30:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,4TH DIVISION,435,RESIDENCE / HOME                             ,1400 BLOCK ANNA LN                                          ,LOUISVILLE,40216,143
80-20-000074,2020-01-01 10:39:00,2019-11-25 08:00:00,SEX CRIMES,SEXUAL ABUSE - 1ST DEGREE- VICTIM U/12 YOA,11D,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,9600 BLOCK DIXIE HWY                                        ,LOUISVILLE,40272,144
80-20-000318,2020-01-02 12:42:00,2019-11-29 11:00:00,ASSAULT,KIDNAPPING-ADULT,100,PART II,COMPLETED,METRO LOUISVILLE,SHV,RESIDENCE / HOME                             ,1700 BLOCK BACHMANN DR                                      ,SHIVELY,40216,145
80-20-000207,2020-01-01 16:44:00,2020-01-01 16:44:00,OTHER,DEATH INVESTIGATION,90Z,PART II,COMPLETED,3RD DIVISION,322,FIELD / WOODS                                ,IROQUOIS PARK                                               ,LOUISVILLE,40214,146
80-20-000383,2020-01-02 13:38:00,2020-01-02 13:15:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,3RD DIVISION,323,HIGHWAY / ROAD / ALLEY                       ,NATIONAL TPKE / YORKTOWN RD                                 ,LOUISVILLE,40214,147
80-20-000027,2020-01-01 03:57:00,2020-01-01 03:08:00,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,6100 BLOCK BAY PINE DR                                      ,LOUISVILLE,40219,148
80-20-000262,2020-01-02 07:02:00,2020-01-02 07:00:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,3100 BLOCK CHINQUAPIN LN                                    ,LOUISVILLE,40219,149
80-20-000471,2020-01-02 20:17:00,2020-01-01 19:30:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,W HILL ST / ST JAMES CT                                     ,LOUISVILLE,40208,150
80-20-000133,2020-01-01 14:26:00,2019-11-26 11:15:00,THEFT/LARCENY,"TBUT OR DISP SHOPLIFTING $500 OR >  BUT < $10,000",23C,PART I,COMPLETED,7TH DIVISION,724,"SPECIALTY STORE (TV, FUR, ETC)               ",9800 BLOCK PRESTON CROSSING BLVD                            ,LOUISVILLE,40229,151
80-20-000263,2020-01-02 07:43:00,2020-01-01 13:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,6TH DIVISION,624,RESIDENCE / HOME                             ,2100 BLOCK BUECHEL BANK RD                                  ,LOUISVILLE,40218,152
80-20-000474,2020-01-02 20:29:00,2020-01-02 20:24:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,1ST DIVISION,134,PARK / PLAYGROUND                            ,LOUISVILLE EXTREME PARK                                     ,LOUISVILLE,40202,153
80-20-000027,2020-01-01 03:57:00,2020-01-01 03:08:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,6100 BLOCK BAY PINE DR                                      ,LOUISVILLE,40219,154
80-20-000383,2020-01-02 13:38:00,2020-01-02 13:15:00,ASSAULT,KIDNAPPING-ADULT,100,PART II,COMPLETED,3RD DIVISION,323,PARKING LOT / GARAGE                         ,NATIONAL TPKE / YORKTOWN RD                                 ,LOUISVILLE,40214,155
80-20-000208,2020-01-01 20:31:00,2020-01-01 19:31:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,8TH DIVISION,812,RESIDENCE / HOME                             ,900 BLOCK RIVERSIDE DR                                      ,LOUISVILLE,40207,156
80-20-000318,2020-01-02 12:42:00,2019-11-29 11:00:00,SEX CRIMES,RAPE - 1ST DEGREE,11A,PART I,COMPLETED,METRO LOUISVILLE,SHV,RESIDENCE / HOME                             ,1700 BLOCK BACHMANN DR                                      ,SHIVELY,40216,157
80-20-000077,2020-01-01 06:26:00,2020-01-01 06:20:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,1500 BLOCK GLENGARRY DR                                     ,LOUISVILLE,40118,158
80-20-000208,2020-01-01 20:31:00,2020-01-01 19:31:00,THEFT/LARCENY,"RECEIVING STOLEN PROPERTY U/$10,000",280,PART II,COMPLETED,8TH DIVISION,812,HIGHWAY / ROAD / ALLEY                       ,900 BLOCK RIVERSIDE DR                                      ,LOUISVILLE,40207,159
80-20-000319,2020-01-02 12:11:00,2020-01-02 12:00:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,6TH DIVISION,624,DRUG STORE/DR`S OFFICE/HOSPITAL              ,3800 BLOCK S HURSTBOURNE PKY                                ,LOUISVILLE,40299,160
80-20-000383,2020-01-02 13:38:00,2020-01-02 13:15:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,3RD DIVISION,323,PARKING LOT / GARAGE                         ,NATIONAL TPKE / YORKTOWN RD                                 ,LOUISVILLE,40214,161
80-20-000267,2020-01-02 01:00:00,2019-12-31 23:50:00,SEX CRIMES,SEXUAL ABUSE - 1ST DEGREE- VICTIM U/12 YOA,11D,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3100 BLOCK DUMESNIL ST                                      ,LOUISVILLE,40211,162
80-20-000030,2020-01-01 04:59:00,2020-01-01 03:40:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,5TH DIVISION,521,RESIDENCE / HOME                             ,2600 BLOCK CLEVELAND BLVD                                   ,LOUISVILLE,40206,163
80-20-000478,2020-01-02 19:47:00,2020-01-02 07:00:00,DISTURBING THE PEACE,CRIMINAL TRESPASS-1ST DEGREE,90J,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,13500 BLOCK KINROSS BLVD                                    ,LOUISVILLE,40272,164
80-20-000134,2020-01-01 13:42:00,2020-01-01 01:00:00,OTHER,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,4TH DIVISION,412,OTHER / UNKNOWN                              ,1000 BLOCK S CLAY ST                                        ,LOUISVILLE,40203,165
80-20-000031,2020-01-01 02:37:00,2019-12-31 23:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,5TH DIVISION,512,RESIDENCE / HOME                             ,1500 BLOCK HEPBURN AVE                                      ,LOUISVILLE,40204,166
80-20-000479,2020-01-02 18:32:00,2020-01-02 18:30:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,2ND DIVISION,234,HIGHWAY / ROAD / ALLEY                       ,1500 BLOCK CATALPA ST                                       ,LOUISVILLE,40211,167
